step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
12	[0.23, -0.56, -0.43, -0.06, 0.08, 0.35, -1.0]	[-0.12, -0.1, 0.96]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
13	[0.03, -0.82, -0.37, -0.09, 0.06, 0.36, -1.0]	[-0.12, -0.11, 0.96]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
14	[0.32, -0.58, -0.23, -0.08, 0.07, 0.38, -1.0]	[-0.12, -0.12, 0.95]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
15	[0.25, -0.86, -0.2, -0.07, 0.1, 0.39, -1.0]	[-0.12, -0.13, 0.95]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
16	[0.32, -0.51, -0.49, -0.07, 0.09, 0.4, -1.0]	[-0.12, -0.14, 0.94]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
17	[0.1, -0.84, -0.74, -0.05, 0.05, 0.42, -1.0]	[-0.11, -0.15, 0.94]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
18	[0.3, -0.45, -0.41, -0.04, 0.05, 0.42, -1.0]	[-0.11, -0.16, 0.93]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
19	[0.12, -0.74, -0.41, -0.05, 0.07, 0.42, -1.0]	[-0.11, -0.17, 0.92]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
20	[0.19, -0.46, -0.52, -0.05, 0.06, 0.43, -1.0]	[-0.1, -0.18, 0.92]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
21	[0.07, -0.84, -0.72, -0.04, 0.03, 0.44, -1.0]	[-0.1, -0.19, 0.91]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
22	[0.17, -0.48, -0.59, -0.03, 0.02, 0.44, -1.0]	[-0.1, -0.19, 0.9]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
23	[0.14, -0.62, -0.61, -0.02, 0.0, 0.44, -1.0]	[-0.1, -0.2, 0.89]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
24	[0.04, -0.35, -0.67, 0.0, -0.01, 0.42, -1.0]	[-0.09, -0.21, 0.89]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
25	[-0.24, -0.32, -0.44, 0.01, -0.01, 0.39, -1.0]	[-0.09, -0.21, 0.88]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
26	[-0.18, -0.14, -0.36, 0.02, -0.0, 0.36, -1.0]	[-0.09, -0.22, 0.87]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
27	[-0.14, -0.28, -0.36, 0.03, 0.0, 0.33, -1.0]	[-0.09, -0.22, 0.87]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
28	[-0.23, -0.18, -0.24, 0.03, 0.01, 0.3, -1.0]	[-0.09, -0.22, 0.86]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
29	[-0.29, -0.21, -0.29, 0.04, 0.01, 0.27, -1.0]	[-0.1, -0.23, 0.86]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
30	[-0.33, -0.21, -0.29, 0.05, 0.01, 0.23, -1.0]	[-0.1, -0.23, 0.85]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
31	[-0.26, -0.18, -0.17, 0.05, 0.01, 0.21, -1.0]	[-0.1, -0.23, 0.85]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
32	[-0.25, -0.18, -0.32, 0.05, 0.01, 0.18, -1.0]	[-0.11, -0.23, 0.85]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
33	[-0.19, -0.13, -0.18, 0.04, 0.01, 0.16, -1.0]	[-0.11, -0.23, 0.84]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
34	[-0.13, -0.03, -0.1, 0.04, 0.02, 0.14, -1.0]	[-0.11, -0.24, 0.84]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
35	[-0.16, -0.11, -0.2, 0.04, 0.02, 0.12, -1.0]	[-0.12, -0.24, 0.84]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
36	[-0.13, -0.06, -0.25, 0.04, 0.01, 0.1, -1.0]	[-0.12, -0.24, 0.84]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
37	[-0.1, -0.07, -0.25, 0.05, -0.0, 0.09, -1.0]	[-0.12, -0.24, 0.83]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
38	[0.14, 0.14, -0.0, 0.04, -0.0, 0.08, -1.0]	[-0.12, -0.24, 0.83]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
39	[-0.0, -0.04, -0.12, 0.04, -0.01, 0.07, -1.0]	[-0.12, -0.24, 0.83]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
40	[0.04, 0.06, -0.06, 0.04, -0.01, 0.06, -1.0]	[-0.12, -0.24, 0.83]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
41	[-0.01, -0.01, -0.09, 0.04, -0.01, 0.05, -1.0]	[-0.13, -0.24, 0.83]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
42	[0.05, 0.07, -0.03, 0.04, -0.01, 0.04, -1.0]	[-0.13, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
43	[0.02, 0.02, -0.09, 0.04, -0.01, 0.03, -1.0]	[-0.13, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
44	[0.13, 0.12, -0.08, 0.03, -0.01, 0.03, -1.0]	[-0.13, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
45	[0.13, 0.05, -0.05, 0.03, -0.01, 0.03, -1.0]	[-0.12, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
46	[0.06, 0.03, -0.07, 0.02, -0.01, 0.02, -1.0]	[-0.12, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
47	[0.05, 0.09, -0.16, 0.02, -0.01, 0.01, -1.0]	[-0.12, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
48	[-0.11, -0.06, -0.19, 0.02, -0.01, 0.01, -1.0]	[-0.12, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
49	[-0.08, 0.03, -0.23, 0.02, -0.01, -0.0, -1.0]	[-0.12, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
50	[-0.05, -0.05, -0.16, 0.02, -0.01, -0.0, -1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
51	[0.08, 0.1, -0.18, 0.02, -0.01, -0.0, -1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
52	[0.01, 0.02, -0.08, 0.02, -0.01, -0.01, -1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
53	[0.12, 0.16, 0.02, 0.02, -0.02, -0.01, -1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
54	[0.15, 0.16, 0.19, 0.01, -0.02, -0.01, -1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
55	[0.16, 0.09, 0.24, 0.0, -0.01, -0.01, -1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
56	[0.18, 0.06, 0.09, -0.01, -0.02, -0.01, -1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
57	[0.2, 0.05, -0.09, -0.01, -0.01, -0.02, -1.0]	[-0.12, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
58	[0.06, -0.04, -0.18, -0.01, -0.0, -0.02, 1.0]	[-0.12, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
59	[0.02, -0.1, -0.4, 0.0, -0.01, -0.02, 1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
60	[-0.03, -0.15, -0.33, 0.0, -0.0, -0.02, 1.0]	[-0.12, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
61	[-0.07, -0.13, -0.29, 0.01, -0.0, -0.02, 1.0]	[-0.11, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
62	[-0.11, -0.04, -0.19, 0.01, -0.01, -0.02, 1.0]	[-0.11, -0.25, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
63	[-0.0, -0.01, -0.13, 0.02, -0.02, -0.02, 1.0]	[-0.11, -0.25, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
64	[0.02, 0.05, -0.04, 0.02, -0.02, -0.02, 1.0]	[-0.11, -0.25, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
65	[0.05, 0.11, 0.13, 0.02, -0.02, -0.02, 1.0]	[-0.11, -0.25, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
66	[0.04, 0.14, 0.09, 0.02, -0.02, -0.02, 1.0]	[-0.11, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.05, -0.22, 0.81]	[-0.08, 0.0, 0.88]
67	[0.02, 0.21, 0.13, 0.02, -0.02, -0.02, 1.0]	[-0.11, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.04, -0.22, 0.81]	[-0.08, 0.0, 0.88]
68	[0.05, 0.17, 0.04, 0.02, -0.02, -0.02, 1.0]	[-0.11, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.04, -0.22, 0.82]	[-0.08, 0.0, 0.88]
69	[0.12, 0.19, 0.11, 0.02, -0.01, -0.02, 1.0]	[-0.11, -0.24, 0.81]	[0.05, -0.2, 0.81]	[-0.04, -0.22, 0.82]	[-0.08, 0.0, 0.88]
70	[0.19, 0.11, 0.06, 0.02, -0.01, -0.02, 1.0]	[-0.11, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.04, -0.22, 0.82]	[-0.08, 0.0, 0.88]
71	[0.22, 0.12, 0.16, 0.02, -0.01, -0.02, 1.0]	[-0.1, -0.24, 0.82]	[0.05, -0.2, 0.81]	[-0.04, -0.22, 0.82]	[-0.08, 0.0, 0.88]
72	[0.24, 0.13, 0.26, 0.01, -0.01, -0.02, 1.0]	[-0.1, -0.23, 0.82]	[0.05, -0.2, 0.81]	[-0.03, -0.21, 0.82]	[-0.08, 0.0, 0.88]
73	[0.21, 0.13, 0.24, 0.0, -0.01, -0.02, 1.0]	[-0.1, -0.23, 0.82]	[0.05, -0.2, 0.81]	[-0.03, -0.21, 0.82]	[-0.08, 0.0, 0.88]
74	[0.14, 0.18, 0.3, -0.01, -0.0, -0.03, 1.0]	[-0.1, -0.23, 0.82]	[0.05, -0.2, 0.81]	[-0.03, -0.21, 0.83]	[-0.08, 0.0, 0.88]
75	[0.05, 0.21, 0.39, -0.02, 0.01, -0.04, 1.0]	[-0.1, -0.23, 0.83]	[0.05, -0.2, 0.81]	[-0.03, -0.21, 0.83]	[-0.08, 0.0, 0.88]
76	[0.08, 0.28, 0.52, -0.03, 0.01, -0.05, 1.0]	[-0.1, -0.23, 0.83]	[0.05, -0.2, 0.81]	[-0.03, -0.21, 0.83]	[-0.08, 0.0, 0.88]
77	[0.13, 0.36, 0.75, -0.05, 0.03, -0.06, 1.0]	[-0.1, -0.23, 0.84]	[0.05, -0.2, 0.81]	[-0.03, -0.21, 0.84]	[-0.08, 0.0, 0.88]
78	[0.15, 0.35, 0.96, -0.08, 0.06, -0.08, 1.0]	[-0.1, -0.23, 0.85]	[0.05, -0.2, 0.81]	[-0.03, -0.2, 0.85]	[-0.08, 0.0, 0.88]
79	[0.22, 0.45, 1.0, -0.11, 0.07, -0.09, 1.0]	[-0.1, -0.23, 0.86]	[0.05, -0.2, 0.81]	[-0.03, -0.2, 0.86]	[-0.08, 0.0, 0.88]
80	[0.15, 0.5, 1.0, -0.13, 0.08, -0.12, 1.0]	[-0.1, -0.22, 0.87]	[0.05, -0.2, 0.81]	[-0.03, -0.2, 0.87]	[-0.08, 0.0, 0.88]
81	[0.07, 0.51, 1.0, -0.16, 0.08, -0.15, 1.0]	[-0.1, -0.22, 0.88]	[0.05, -0.2, 0.81]	[-0.03, -0.2, 0.88]	[-0.08, 0.0, 0.88]
82	[0.06, 0.52, 1.0, -0.18, 0.09, -0.17, 1.0]	[-0.1, -0.22, 0.89]	[0.05, -0.2, 0.81]	[-0.03, -0.2, 0.89]	[-0.08, 0.0, 0.88]
83	[0.08, 0.61, 0.98, -0.19, 0.09, -0.2, 1.0]	[-0.1, -0.22, 0.91]	[0.05, -0.2, 0.81]	[-0.03, -0.2, 0.91]	[-0.08, 0.0, 0.88]
84	[0.12, 0.65, 0.98, -0.19, 0.11, -0.22, 1.0]	[-0.1, -0.22, 0.92]	[0.05, -0.2, 0.81]	[-0.03, -0.2, 0.92]	[-0.08, 0.0, 0.88]
85	[0.12, 0.5, 0.81, -0.18, 0.14, -0.24, 1.0]	[-0.1, -0.21, 0.93]	[0.05, -0.2, 0.81]	[-0.03, -0.19, 0.93]	[-0.08, 0.0, 0.88]
86	[0.05, 0.63, 0.64, -0.17, 0.16, -0.26, 1.0]	[-0.1, -0.21, 0.94]	[0.05, -0.2, 0.81]	[-0.03, -0.19, 0.94]	[-0.08, 0.0, 0.88]
87	[0.1, 0.8, 0.69, -0.14, 0.18, -0.28, 1.0]	[-0.11, -0.2, 0.95]	[0.05, -0.2, 0.81]	[-0.04, -0.18, 0.95]	[-0.08, 0.0, 0.88]
88	[0.03, 0.76, 0.57, -0.13, 0.19, -0.29, 1.0]	[-0.11, -0.19, 0.96]	[0.05, -0.2, 0.81]	[-0.04, -0.17, 0.95]	[-0.08, 0.0, 0.88]
89	[0.18, 0.82, 0.58, -0.11, 0.2, -0.3, 1.0]	[-0.11, -0.18, 0.97]	[0.05, -0.2, 0.81]	[-0.04, -0.16, 0.96]	[-0.08, 0.0, 0.88]
90	[0.15, 0.67, 0.47, -0.09, 0.21, -0.3, 1.0]	[-0.11, -0.16, 0.97]	[0.05, -0.2, 0.81]	[-0.04, -0.15, 0.96]	[-0.08, 0.0, 0.88]
91	[0.29, 0.71, 0.42, -0.06, 0.24, -0.29, 1.0]	[-0.11, -0.15, 0.98]	[0.05, -0.2, 0.81]	[-0.04, -0.14, 0.97]	[-0.08, 0.0, 0.88]
92	[0.14, 0.71, 0.34, -0.05, 0.22, -0.29, 1.0]	[-0.11, -0.14, 0.98]	[0.05, -0.2, 0.81]	[-0.04, -0.14, 0.97]	[-0.08, 0.0, 0.88]
93	[0.08, 0.92, 0.32, -0.06, 0.21, -0.29, 1.0]	[-0.12, -0.13, 0.98]	[0.05, -0.2, 0.81]	[-0.05, -0.13, 0.97]	[-0.08, 0.0, 0.88]
94	[0.33, 0.56, 0.43, -0.06, 0.22, -0.28, 1.0]	[-0.12, -0.12, 0.99]	[0.05, -0.2, 0.81]	[-0.05, -0.12, 0.97]	[-0.08, 0.0, 0.88]
95	[0.51, 0.53, 0.36, -0.04, 0.25, -0.27, 1.0]	[-0.12, -0.11, 0.99]	[0.05, -0.2, 0.81]	[-0.05, -0.11, 0.98]	[-0.08, 0.0, 0.88]
96	[0.45, 0.57, 0.34, -0.02, 0.28, -0.27, 1.0]	[-0.12, -0.1, 0.99]	[0.05, -0.2, 0.81]	[-0.05, -0.1, 0.98]	[-0.08, 0.0, 0.88]
97	[0.58, 0.94, 0.32, -0.01, 0.3, -0.31, 1.0]	[-0.11, -0.09, 1.0]	[0.05, -0.2, 0.81]	[-0.04, -0.09, 0.98]	[-0.08, 0.0, 0.88]
98	[0.53, 0.96, 0.38, -0.01, 0.31, -0.34, 1.0]	[-0.11, -0.08, 1.0]	[0.05, -0.2, 0.81]	[-0.04, -0.09, 0.98]	[-0.08, 0.0, 0.88]
99	[0.48, 1.0, 0.21, -0.04, 0.29, -0.33, 1.0]	[-0.11, -0.07, 1.0]	[0.05, -0.2, 0.81]	[-0.04, -0.08, 0.98]	[-0.08, 0.0, 0.88]
100	[0.24, 0.44, 0.19, -0.02, 0.28, -0.33, 1.0]	[-0.1, -0.05, 1.01]	[0.05, -0.2, 0.81]	[-0.04, -0.07, 0.98]	[-0.08, 0.0, 0.88]
101	[0.36, 0.4, 0.34, 0.0, 0.28, -0.3, 1.0]	[-0.1, -0.04, 1.01]	[0.05, -0.2, 0.81]	[-0.04, -0.06, 0.98]	[-0.08, 0.0, 0.88]
102	[0.52, 0.68, 0.51, -0.03, 0.29, -0.29, 1.0]	[-0.1, -0.04, 1.01]	[0.05, -0.2, 0.81]	[-0.03, -0.05, 0.99]	[-0.08, 0.0, 0.88]
103	[0.41, 0.7, 0.36, -0.04, 0.29, -0.28, 1.0]	[-0.09, -0.03, 1.02]	[0.05, -0.2, 0.81]	[-0.03, -0.05, 0.99]	[-0.08, 0.0, 0.88]
104	[0.29, 0.05, 0.36, -0.04, 0.28, -0.26, 1.0]	[-0.09, -0.02, 1.02]	[0.05, -0.2, 0.81]	[-0.03, -0.04, 0.99]	[-0.08, 0.0, 0.88]
105	[0.38, 0.47, 0.24, -0.04, 0.29, -0.24, 1.0]	[-0.09, -0.02, 1.03]	[0.05, -0.2, 0.81]	[-0.03, -0.04, 1.0]	[-0.08, 0.0, 0.88]
106	[0.08, 0.02, 0.18, -0.02, 0.31, -0.23, 1.0]	[-0.08, -0.01, 1.03]	[0.05, -0.2, 0.81]	[-0.02, -0.03, 1.0]	[-0.08, 0.0, 0.88]
107	[-0.0, 0.64, 0.1, -0.03, 0.3, -0.21, 1.0]	[-0.08, -0.01, 1.04]	[0.05, -0.2, 0.81]	[-0.02, -0.03, 1.0]	[-0.08, 0.0, 0.88]
108	[-0.3, 0.22, 0.06, -0.04, 0.28, -0.19, 1.0]	[-0.08, -0.0, 1.04]	[0.05, -0.2, 0.81]	[-0.02, -0.03, 1.0]	[-0.08, 0.0, 0.88]
109	[-0.02, 0.64, 0.15, -0.05, 0.28, -0.18, 1.0]	[-0.08, 0.0, 1.04]	[0.05, -0.2, 0.81]	[-0.03, -0.02, 1.0]	[-0.08, 0.0, 0.88]
110	[-0.17, 0.6, 0.03, -0.06, 0.27, -0.17, 1.0]	[-0.08, 0.01, 1.04]	[0.05, -0.2, 0.81]	[-0.03, -0.02, 1.0]	[-0.08, 0.0, 0.88]
111	[-0.48, -0.11, -0.14, -0.07, 0.25, -0.14, 1.0]	[-0.08, 0.02, 1.04]	[0.05, -0.2, 0.81]	[-0.03, -0.01, 1.0]	[-0.08, 0.0, 0.88]
112	[-0.15, 0.26, -0.16, -0.07, 0.24, -0.13, 1.0]	[-0.08, 0.02, 1.04]	[0.05, -0.2, 0.81]	[-0.04, -0.01, 1.0]	[-0.08, 0.0, 0.88]
113	[-0.62, -0.38, -0.23, -0.07, 0.23, -0.1, 1.0]	[-0.08, 0.02, 1.04]	[0.05, -0.2, 0.81]	[-0.04, -0.01, 0.99]	[-0.08, 0.0, 0.88]
114	[-0.16, 0.15, -0.14, -0.07, 0.21, -0.09, 1.0]	[-0.09, 0.02, 1.04]	[0.05, -0.2, 0.81]	[-0.05, -0.01, 0.99]	[-0.08, 0.0, 0.88]
115	[-0.14, -0.49, 0.1, -0.07, 0.21, -0.07, 1.0]	[-0.09, 0.02, 1.04]	[0.05, -0.2, 0.81]	[-0.05, -0.01, 0.99]	[-0.08, 0.0, 0.88]
116	[-0.09, 0.06, -0.01, -0.06, 0.2, -0.05, 1.0]	[-0.09, 0.02, 1.04]	[0.05, -0.2, 0.81]	[-0.05, -0.02, 0.99]	[-0.08, 0.0, 0.88]
117	[0.06, -0.33, 0.29, -0.06, 0.2, -0.04, 1.0]	[-0.09, 0.02, 1.04]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 0.98]	[-0.08, 0.0, 0.88]
118	[0.18, 0.13, 0.18, -0.05, 0.21, -0.03, 1.0]	[-0.09, 0.01, 1.04]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 0.99]	[-0.08, 0.0, 0.88]
119	[0.06, -0.14, 0.32, -0.06, 0.21, -0.01, 1.0]	[-0.09, 0.01, 1.04]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 0.99]	[-0.08, 0.0, 0.88]
120	[0.23, 0.24, 0.22, -0.07, 0.21, 0.0, 1.0]	[-0.09, 0.01, 1.05]	[0.05, -0.2, 0.81]	[-0.06, -0.03, 0.99]	[-0.08, 0.0, 0.88]
121	[-0.17, 0.17, 0.33, -0.09, 0.21, 0.01, 1.0]	[-0.09, 0.01, 1.05]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 0.99]	[-0.08, 0.0, 0.88]
122	[0.21, 0.23, 0.27, -0.09, 0.21, 0.02, 1.0]	[-0.09, 0.01, 1.05]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 1.0]	[-0.08, 0.0, 0.88]
123	[0.06, 0.06, 0.54, -0.09, 0.21, 0.02, 1.0]	[-0.09, 0.02, 1.06]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 1.0]	[-0.08, 0.0, 0.88]
124	[0.18, 0.23, 0.34, -0.09, 0.2, 0.02, 1.0]	[-0.09, 0.02, 1.06]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 1.01]	[-0.08, 0.0, 0.88]
125	[-0.15, 0.1, 0.42, -0.09, 0.2, 0.03, 1.0]	[-0.09, 0.02, 1.07]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 1.01]	[-0.08, 0.0, 0.88]
126	[0.28, 0.22, 0.32, -0.08, 0.19, 0.03, 1.0]	[-0.09, 0.02, 1.07]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 1.02]	[-0.08, 0.0, 0.88]
127	[-0.04, 0.02, 0.29, -0.07, 0.2, 0.03, 1.0]	[-0.09, 0.02, 1.08]	[0.05, -0.2, 0.81]	[-0.06, -0.02, 1.02]	[-0.08, 0.0, 0.88]
128	[0.32, 0.27, 0.29, -0.07, 0.19, 0.04, 1.0]	[-0.08, 0.03, 1.08]	[0.05, -0.2, 0.81]	[-0.06, -0.01, 1.03]	[-0.08, 0.0, 0.88]
129	[0.01, 0.29, 0.37, -0.07, 0.18, 0.04, 1.0]	[-0.08, 0.03, 1.09]	[0.05, -0.2, 0.81]	[-0.06, -0.01, 1.03]	[-0.08, 0.0, 0.88]
130	[0.2, 0.29, 0.22, -0.06, 0.17, 0.03, 1.0]	[-0.08, 0.03, 1.09]	[0.05, -0.2, 0.81]	[-0.06, -0.01, 1.03]	[-0.08, 0.0, 0.88]
131	[-0.02, 0.24, 0.32, -0.06, 0.16, 0.02, 1.0]	[-0.08, 0.04, 1.09]	[0.05, -0.2, 0.81]	[-0.06, -0.01, 1.04]	[-0.08, 0.0, 0.88]
