step	action	robot0_eef_pos	nut0_pos	nut1_pos
84	[1.0, -0.52, 1.0, 0.0, 0.06, 0.07, 1.0]	[-0.01, 0.23, 0.89]	[-0.01, 0.17, 0.89]	[10.57, 10.0, 0.01]
85	[1.0, -0.58, 1.0, 0.01, 0.07, 0.08, 1.0]	[0.0, 0.22, 0.91]	[-0.0, 0.16, 0.91]	[10.57, 10.0, 0.01]
86	[1.0, -0.58, 1.0, 0.01, 0.07, 0.09, 1.0]	[0.01, 0.22, 0.92]	[0.01, 0.16, 0.92]	[10.57, 10.0, 0.01]
87	[1.0, -0.66, 0.9, 0.01, 0.07, 0.1, 1.0]	[0.03, 0.21, 0.93]	[0.02, 0.15, 0.93]	[10.57, 10.0, 0.01]
88	[1.0, -0.77, 0.75, 0.0, 0.07, 0.11, 1.0]	[0.04, 0.2, 0.94]	[0.04, 0.14, 0.94]	[10.57, 10.0, 0.01]
89	[1.0, -0.68, 0.59, -0.01, 0.06, 0.12, 1.0]	[0.05, 0.19, 0.95]	[0.05, 0.13, 0.95]	[10.57, 10.0, 0.01]
90	[1.0, -0.69, 0.54, -0.01, 0.05, 0.13, 1.0]	[0.06, 0.18, 0.96]	[0.06, 0.12, 0.96]	[10.57, 10.0, 0.01]
91	[1.0, -0.55, 0.28, -0.02, 0.04, 0.13, 1.0]	[0.07, 0.17, 0.97]	[0.07, 0.11, 0.97]	[10.57, 10.0, 0.01]
92	[1.0, -0.42, 0.28, -0.01, 0.03, 0.12, 1.0]	[0.08, 0.16, 0.98]	[0.09, 0.1, 0.97]	[10.57, 10.0, 0.01]
93	[1.0, -0.27, 0.24, -0.01, 0.02, 0.11, 1.0]	[0.1, 0.15, 0.98]	[0.1, 0.09, 0.98]	[10.57, 10.0, 0.01]
94	[1.0, -0.09, 0.2, -0.0, 0.02, 0.1, 1.0]	[0.11, 0.15, 0.98]	[0.11, 0.09, 0.98]	[10.57, 10.0, 0.01]
95	[1.0, -0.04, 0.19, -0.0, 0.01, 0.09, 1.0]	[0.12, 0.14, 0.98]	[0.13, 0.08, 0.98]	[10.57, 10.0, 0.01]
96	[1.0, -0.04, 0.25, 0.0, 0.02, 0.08, 1.0]	[0.13, 0.14, 0.98]	[0.14, 0.08, 0.98]	[10.57, 10.0, 0.01]
97	[0.97, 0.03, 0.21, 0.0, 0.02, 0.06, 1.0]	[0.14, 0.14, 0.99]	[0.15, 0.08, 0.99]	[10.57, 10.0, 0.01]
98	[0.57, 0.16, 0.13, -0.0, 0.02, 0.05, 1.0]	[0.15, 0.14, 0.99]	[0.16, 0.08, 0.99]	[10.57, 10.0, 0.01]
99	[0.65, 0.22, 0.27, -0.0, 0.02, 0.04, 1.0]	[0.16, 0.14, 0.99]	[0.17, 0.08, 0.99]	[10.57, 10.0, 0.01]
100	[0.69, 0.13, 0.24, -0.0, 0.02, 0.03, 1.0]	[0.17, 0.14, 0.99]	[0.18, 0.08, 0.99]	[10.57, 10.0, 0.01]
101	[0.63, 0.14, 0.32, -0.0, 0.03, 0.03, 1.0]	[0.18, 0.14, 1.0]	[0.19, 0.08, 0.99]	[10.57, 10.0, 0.01]
102	[0.58, 0.13, 0.08, -0.01, 0.02, 0.02, 1.0]	[0.19, 0.14, 1.0]	[0.2, 0.08, 1.0]	[10.57, 10.0, 0.01]
103	[0.5, 0.1, -0.03, -0.02, 0.02, 0.02, 1.0]	[0.19, 0.14, 1.0]	[0.2, 0.08, 1.0]	[10.57, 10.0, 0.01]
104	[0.46, -0.0, -0.22, -0.01, 0.02, 0.01, 1.0]	[0.2, 0.14, 1.0]	[0.21, 0.08, 1.0]	[10.57, 10.0, 0.01]
105	[0.22, 0.05, -0.43, -0.02, 0.01, 0.0, 1.0]	[0.21, 0.14, 1.0]	[0.21, 0.08, 1.0]	[10.57, 10.0, 0.01]
106	[0.3, 0.16, -0.26, -0.02, -0.0, -0.01, 1.0]	[0.21, 0.14, 0.99]	[0.22, 0.08, 0.99]	[10.57, 10.0, 0.01]
107	[-0.09, 0.18, -0.34, -0.01, -0.01, -0.01, 1.0]	[0.21, 0.14, 0.99]	[0.22, 0.08, 0.99]	[10.57, 10.0, 0.01]
108	[0.19, 0.16, -0.14, -0.01, -0.02, -0.02, 1.0]	[0.22, 0.14, 0.99]	[0.22, 0.09, 0.98]	[10.57, 10.0, 0.01]
109	[-0.13, 0.16, -0.24, -0.0, -0.02, -0.02, 1.0]	[0.22, 0.15, 0.98]	[0.23, 0.09, 0.98]	[10.57, 10.0, 0.01]
110	[0.12, 0.13, -0.29, -0.01, -0.03, -0.02, 1.0]	[0.22, 0.15, 0.98]	[0.23, 0.09, 0.98]	[10.57, 10.0, 0.01]
111	[0.04, 0.1, -0.32, -0.01, -0.04, -0.02, 1.0]	[0.22, 0.15, 0.98]	[0.23, 0.09, 0.98]	[10.57, 10.0, 0.01]
112	[0.12, 0.03, -0.25, -0.01, -0.05, -0.01, 1.0]	[0.22, 0.15, 0.98]	[0.23, 0.09, 0.97]	[10.57, 10.0, 0.01]
113	[-0.0, 0.16, -0.22, -0.0, -0.05, -0.02, 1.0]	[0.22, 0.15, 0.97]	[0.23, 0.09, 0.97]	[10.57, 10.0, 0.01]
114	[0.11, 0.06, -0.05, -0.03, -0.09, -0.09, 1.0]	[0.22, 0.15, 0.97]	[0.23, 0.09, 0.97]	[10.57, 10.0, 0.01]
115	[0.09, 0.1, -0.26, -0.03, -0.06, -0.12, 1.0]	[0.22, 0.15, 0.97]	[0.23, 0.1, 0.97]	[10.57, 10.0, 0.01]
116	[0.04, 0.12, -0.22, -0.03, -0.05, -0.11, 1.0]	[0.22, 0.16, 0.97]	[0.23, 0.1, 0.97]	[10.57, 10.0, 0.01]
117	[0.01, 0.1, -0.29, -0.03, -0.04, -0.1, 1.0]	[0.22, 0.16, 0.96]	[0.23, 0.1, 0.96]	[10.57, 10.0, 0.01]
118	[0.02, 0.06, -0.26, -0.03, -0.03, -0.08, 1.0]	[0.22, 0.16, 0.96]	[0.23, 0.1, 0.96]	[10.57, 10.0, 0.01]
119	[-0.14, -0.04, 0.04, -0.03, -0.02, -0.07, 1.0]	[0.22, 0.16, 0.95]	[0.23, 0.1, 0.95]	[10.57, 10.0, 0.01]
120	[-0.01, -0.02, 0.06, -0.02, -0.01, -0.06, 1.0]	[0.22, 0.16, 0.95]	[0.23, 0.1, 0.95]	[10.57, 10.0, 0.01]
121	[-0.13, -0.12, 0.34, -0.02, -0.0, -0.05, 1.0]	[0.22, 0.16, 0.95]	[0.22, 0.1, 0.95]	[10.57, 10.0, 0.01]
122	[0.06, 0.03, 0.23, -0.01, 0.01, -0.04, 1.0]	[0.22, 0.16, 0.95]	[0.22, 0.1, 0.95]	[10.57, 10.0, 0.01]
123	[0.03, 0.04, 0.18, -0.01, 0.01, -0.04, 1.0]	[0.22, 0.16, 0.95]	[0.22, 0.1, 0.95]	[10.57, 10.0, 0.01]
124	[0.08, 0.13, -0.05, -0.0, 0.01, -0.04, 1.0]	[0.22, 0.16, 0.95]	[0.22, 0.1, 0.95]	[10.57, 10.0, 0.01]
125	[-0.05, 0.12, -0.36, -0.01, 0.0, -0.04, 1.0]	[0.22, 0.16, 0.95]	[0.22, 0.1, 0.95]	[10.57, 10.0, 0.01]
126	[-0.03, 0.06, -0.49, -0.01, -0.0, -0.04, 1.0]	[0.22, 0.16, 0.95]	[0.22, 0.1, 0.95]	[10.57, 10.0, 0.01]
127	[-0.1, 0.05, -0.57, -0.01, -0.01, -0.04, 1.0]	[0.22, 0.16, 0.94]	[0.22, 0.1, 0.95]	[10.57, 10.0, 0.01]
128	[-0.12, 0.12, -0.7, -0.01, -0.02, -0.04, 1.0]	[0.22, 0.16, 0.94]	[0.22, 0.1, 0.94]	[10.57, 10.0, 0.01]
129	[-0.06, 0.19, -0.66, -0.01, -0.04, -0.04, 1.0]	[0.22, 0.16, 0.93]	[0.22, 0.1, 0.93]	[10.57, 10.0, 0.01]
130	[-0.08, 0.23, -0.57, -0.0, -0.03, -0.04, 1.0]	[0.22, 0.16, 0.93]	[0.22, 0.1, 0.93]	[10.57, 10.0, 0.01]
131	[-0.1, 0.16, -0.46, -0.01, -0.02, -0.04, 1.0]	[0.22, 0.17, 0.92]	[0.22, 0.11, 0.92]	[10.57, 10.0, 0.01]
132	[-0.08, 0.11, -0.49, -0.02, -0.01, -0.04, 1.0]	[0.22, 0.17, 0.92]	[0.22, 0.11, 0.92]	[10.57, 10.0, 0.01]
133	[-0.05, 0.04, -0.38, -0.02, -0.01, -0.03, -1.0]	[0.22, 0.17, 0.91]	[0.22, 0.11, 0.91]	[10.57, 10.0, 0.01]
134	[-0.03, 0.0, -0.26, -0.02, 0.02, -0.02, -1.0]	[0.22, 0.17, 0.91]	[0.22, 0.11, 0.91]	[10.57, 10.0, 0.01]
135	[-0.04, -0.1, 0.04, -0.0, 0.02, -0.02, -1.0]	[0.22, 0.17, 0.91]	[0.22, 0.11, 0.91]	[10.57, 10.0, 0.01]
136	[0.02, -0.07, 0.12, -0.0, 0.03, -0.01, -1.0]	[0.22, 0.17, 0.91]	[0.22, 0.11, 0.91]	[10.57, 10.0, 0.01]
137	[-0.01, -0.04, 0.11, -0.0, 0.02, -0.01, -1.0]	[0.22, 0.17, 0.91]	[0.22, 0.1, 0.91]	[10.57, 10.0, 0.01]
138	[0.02, 0.02, 0.21, 0.0, 0.02, -0.01, -1.0]	[0.22, 0.16, 0.91]	[0.23, 0.1, 0.91]	[10.57, 10.0, 0.01]
139	[0.04, 0.03, 0.3, 0.01, 0.02, -0.01, -1.0]	[0.22, 0.16, 0.91]	[0.23, 0.1, 0.88]	[10.57, 10.0, 0.01]
140	[-0.04, 0.05, 0.21, 0.02, 0.01, -0.01, -1.0]	[0.22, 0.16, 0.91]	[0.23, 0.1, 0.83]	[10.57, 10.0, 0.01]
141	[-0.06, 0.01, 0.3, 0.02, 0.01, -0.0, -1.0]	[0.22, 0.17, 0.92]	[0.23, 0.1, 0.82]	[10.57, 10.0, 0.01]
142	[-0.1, -0.06, 0.42, 0.02, 0.01, 0.0, -1.0]	[0.22, 0.17, 0.92]	[0.23, 0.1, 0.83]	[10.57, 10.0, 0.01]
143	[-0.14, -0.07, 0.45, 0.03, 0.0, 0.01, -1.0]	[0.22, 0.17, 0.93]	[0.23, 0.1, 0.83]	[10.57, 10.0, 0.01]
