step	action	robot0_eef_pos	tool_pos	frame_pos	stand_pos
21	[0.17, -0.6, -0.56, -0.01, 0.07, 0.57, -1.0]	[-0.06, -0.19, 0.94]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
22	[0.18, -0.2, -0.44, 0.0, 0.07, 0.54, -1.0]	[-0.06, -0.2, 0.93]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
23	[0.1, -0.24, -0.41, -0.0, 0.07, 0.52, -1.0]	[-0.06, -0.2, 0.93]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
24	[0.3, -0.14, -0.34, -0.01, 0.07, 0.52, -1.0]	[-0.06, -0.21, 0.92]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
25	[0.07, -0.08, -0.2, -0.02, 0.07, 0.52, -1.0]	[-0.05, -0.21, 0.92]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
26	[0.09, -0.15, -0.23, -0.03, 0.06, 0.51, -1.0]	[-0.05, -0.21, 0.91]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
27	[-0.14, -0.2, -0.4, -0.02, 0.05, 0.48, -1.0]	[-0.05, -0.22, 0.91]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
28	[-0.11, -0.26, -0.4, -0.01, 0.06, 0.45, -1.0]	[-0.05, -0.22, 0.91]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
29	[-0.27, -0.3, -0.45, 0.0, 0.05, 0.42, -1.0]	[-0.05, -0.22, 0.9]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
30	[-0.31, -0.25, -0.32, 0.01, 0.05, 0.38, -1.0]	[-0.05, -0.23, 0.9]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
31	[-0.28, -0.32, -0.34, 0.01, 0.04, 0.35, -1.0]	[-0.05, -0.23, 0.89]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
32	[-0.26, -0.23, -0.23, 0.01, 0.03, 0.32, -1.0]	[-0.05, -0.23, 0.89]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
33	[-0.18, -0.2, -0.24, 0.02, 0.03, 0.29, -1.0]	[-0.06, -0.24, 0.89]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
34	[-0.2, -0.16, -0.26, 0.02, 0.03, 0.27, -1.0]	[-0.06, -0.24, 0.88]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
35	[-0.13, -0.1, -0.3, 0.03, 0.02, 0.25, -1.0]	[-0.06, -0.24, 0.88]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
36	[-0.07, -0.08, -0.35, 0.04, 0.02, 0.24, -1.0]	[-0.06, -0.24, 0.88]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
37	[-0.05, -0.04, -0.33, 0.04, 0.02, 0.23, -1.0]	[-0.07, -0.24, 0.87]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
38	[-0.18, -0.08, -0.3, 0.04, 0.02, 0.21, -1.0]	[-0.07, -0.25, 0.87]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
39	[-0.22, -0.14, -0.3, 0.04, 0.02, 0.18, -1.0]	[-0.07, -0.25, 0.86]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
40	[-0.27, -0.16, -0.14, 0.04, 0.02, 0.16, -1.0]	[-0.07, -0.25, 0.86]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
41	[-0.25, -0.24, -0.27, 0.04, 0.01, 0.14, -1.0]	[-0.07, -0.25, 0.86]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
42	[-0.14, -0.13, -0.15, 0.04, 0.01, 0.13, -1.0]	[-0.08, -0.25, 0.85]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
43	[-0.18, -0.13, -0.24, 0.04, 0.01, 0.11, -1.0]	[-0.08, -0.25, 0.85]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
44	[-0.17, -0.09, -0.25, 0.04, 0.0, 0.1, -1.0]	[-0.08, -0.25, 0.85]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
45	[-0.09, -0.09, -0.26, 0.04, 0.0, 0.09, -1.0]	[-0.09, -0.26, 0.85]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
46	[-0.07, -0.03, -0.3, 0.05, -0.0, 0.08, -1.0]	[-0.09, -0.26, 0.84]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
47	[-0.1, -0.05, -0.28, 0.05, -0.0, 0.07, -1.0]	[-0.09, -0.26, 0.84]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
48	[-0.11, -0.07, -0.21, 0.04, -0.0, 0.06, -1.0]	[-0.09, -0.26, 0.83]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
49	[-0.1, -0.1, -0.17, 0.04, -0.01, 0.05, -1.0]	[-0.09, -0.26, 0.83]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
50	[-0.03, -0.1, -0.1, 0.03, -0.01, 0.04, -1.0]	[-0.09, -0.26, 0.83]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
51	[0.04, -0.09, -0.09, 0.03, -0.01, 0.04, -1.0]	[-0.09, -0.26, 0.83]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
52	[-0.01, -0.06, -0.11, 0.03, -0.01, 0.03, -1.0]	[-0.1, -0.26, 0.83]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
53	[0.04, -0.06, -0.11, 0.03, -0.01, 0.03, -1.0]	[-0.1, -0.27, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
54	[0.06, -0.0, -0.02, 0.02, -0.02, 0.02, -1.0]	[-0.1, -0.27, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
55	[0.03, -0.08, -0.14, 0.02, -0.02, 0.02, -1.0]	[-0.1, -0.27, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
56	[-0.01, -0.07, -0.11, 0.01, -0.02, 0.01, -1.0]	[-0.1, -0.27, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
57	[-0.06, -0.17, -0.24, 0.01, -0.02, 0.01, -1.0]	[-0.1, -0.27, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
58	[0.01, -0.11, -0.08, 0.01, -0.02, 0.0, -1.0]	[-0.1, -0.27, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
59	[0.06, -0.1, -0.11, 0.01, -0.02, 0.0, -1.0]	[-0.1, -0.27, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
60	[0.06, -0.12, -0.11, 0.01, -0.02, 0.0, -1.0]	[-0.1, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
61	[0.02, -0.11, -0.09, 0.01, -0.02, -0.0, -1.0]	[-0.1, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
62	[0.05, -0.08, -0.14, 0.01, -0.02, -0.0, -1.0]	[-0.1, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
63	[-0.03, -0.05, -0.16, 0.01, -0.02, -0.0, -1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
64	[-0.02, 0.02, -0.17, 0.01, -0.02, -0.01, -1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
65	[-0.04, 0.08, -0.14, 0.02, -0.02, -0.01, -1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
66	[0.02, 0.07, -0.09, 0.01, -0.02, -0.01, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
67	[-0.04, 0.13, 0.03, 0.01, -0.03, -0.01, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
68	[0.03, 0.01, -0.17, 0.02, -0.02, -0.02, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
69	[-0.02, 0.01, -0.11, 0.02, -0.02, -0.02, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
70	[0.03, 0.06, 0.06, 0.01, -0.02, -0.01, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
71	[-0.0, 0.05, -0.08, 0.02, -0.02, -0.01, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.25, 0.81]	[-0.08, 0.0, 0.88]
72	[-0.0, 0.06, -0.04, 0.02, -0.02, -0.01, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.81]	[-0.08, 0.0, 0.88]
73	[0.03, 0.04, -0.13, 0.02, -0.02, -0.01, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.81]	[-0.08, 0.0, 0.88]
74	[0.04, 0.08, -0.02, 0.02, -0.01, -0.01, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.81]	[-0.08, 0.0, 0.88]
75	[0.05, 0.09, -0.04, 0.02, -0.01, -0.02, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.81]	[-0.08, 0.0, 0.88]
76	[0.11, 0.15, 0.16, 0.01, -0.01, -0.02, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.81]	[-0.08, 0.0, 0.88]
77	[0.12, 0.24, 0.19, 0.0, -0.01, -0.02, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.81]	[-0.08, 0.0, 0.88]
78	[0.25, 0.32, 0.47, -0.01, 0.0, -0.02, 1.0]	[-0.09, -0.28, 0.81]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.82]	[-0.08, 0.0, 0.88]
79	[0.41, 0.47, 0.56, -0.03, 0.01, -0.02, 1.0]	[-0.09, -0.28, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.82]	[-0.08, 0.0, 0.88]
80	[0.34, 0.48, 0.75, -0.05, 0.01, -0.04, 1.0]	[-0.09, -0.27, 0.82]	[0.04, -0.21, 0.81]	[-0.03, -0.24, 0.83]	[-0.08, 0.0, 0.88]
81	[0.22, 0.56, 0.77, -0.07, 0.02, -0.06, 1.0]	[-0.08, -0.27, 0.83]	[0.04, -0.21, 0.81]	[-0.03, -0.23, 0.84]	[-0.08, 0.0, 0.88]
82	[0.31, 0.66, 0.86, -0.08, 0.02, -0.08, 1.0]	[-0.08, -0.27, 0.84]	[0.04, -0.21, 0.81]	[-0.03, -0.23, 0.85]	[-0.08, 0.0, 0.88]
83	[0.33, 0.69, 0.93, -0.1, 0.02, -0.11, 1.0]	[-0.08, -0.26, 0.85]	[0.04, -0.21, 0.81]	[-0.02, -0.23, 0.86]	[-0.08, 0.0, 0.88]
84	[0.25, 0.76, 0.95, -0.11, 0.03, -0.13, 1.0]	[-0.08, -0.26, 0.86]	[0.04, -0.21, 0.81]	[-0.02, -0.22, 0.87]	[-0.08, 0.0, 0.88]
85	[0.17, 0.7, 0.88, -0.12, 0.03, -0.16, 1.0]	[-0.08, -0.25, 0.88]	[0.04, -0.21, 0.81]	[-0.02, -0.22, 0.88]	[-0.08, 0.0, 0.88]
86	[0.13, 0.82, 0.95, -0.13, 0.04, -0.19, 1.0]	[-0.08, -0.25, 0.89]	[0.04, -0.21, 0.81]	[-0.02, -0.21, 0.89]	[-0.08, 0.0, 0.88]
87	[0.1, 0.7, 0.81, -0.13, 0.04, -0.21, 1.0]	[-0.08, -0.24, 0.9]	[0.04, -0.21, 0.81]	[-0.02, -0.2, 0.9]	[-0.08, 0.0, 0.88]
88	[0.16, 0.72, 0.88, -0.13, 0.04, -0.22, 1.0]	[-0.08, -0.23, 0.91]	[0.04, -0.21, 0.81]	[-0.02, -0.2, 0.91]	[-0.08, 0.0, 0.88]
89	[0.14, 0.6, 0.77, -0.12, 0.06, -0.23, 1.0]	[-0.08, -0.22, 0.92]	[0.04, -0.21, 0.81]	[-0.02, -0.19, 0.92]	[-0.08, 0.0, 0.88]
90	[0.06, 0.66, 0.73, -0.09, 0.07, -0.24, 1.0]	[-0.08, -0.22, 0.93]	[0.04, -0.21, 0.81]	[-0.02, -0.18, 0.93]	[-0.08, 0.0, 0.88]
91	[-0.05, 0.61, 0.59, -0.08, 0.1, -0.25, 1.0]	[-0.08, -0.21, 0.94]	[0.04, -0.21, 0.81]	[-0.02, -0.18, 0.94]	[-0.08, 0.0, 0.88]
92	[-0.12, 0.8, 0.56, -0.06, 0.11, -0.26, 1.0]	[-0.08, -0.2, 0.95]	[0.04, -0.21, 0.81]	[-0.02, -0.17, 0.95]	[-0.08, 0.0, 0.88]
93	[-0.3, 0.73, 0.41, -0.04, 0.12, -0.28, 1.0]	[-0.08, -0.19, 0.96]	[0.04, -0.21, 0.81]	[-0.02, -0.16, 0.95]	[-0.08, 0.0, 0.88]
94	[-0.23, 0.86, 0.4, -0.03, 0.12, -0.3, 1.0]	[-0.09, -0.18, 0.96]	[0.04, -0.21, 0.81]	[-0.02, -0.15, 0.96]	[-0.08, 0.0, 0.88]
95	[-0.09, 0.73, 0.38, -0.03, 0.11, -0.3, 1.0]	[-0.09, -0.17, 0.97]	[0.04, -0.21, 0.81]	[-0.03, -0.14, 0.96]	[-0.08, 0.0, 0.88]
96	[-0.04, 0.8, 0.26, -0.03, 0.11, -0.29, 1.0]	[-0.09, -0.15, 0.97]	[0.04, -0.21, 0.81]	[-0.03, -0.13, 0.97]	[-0.08, 0.0, 0.88]
97	[-0.01, 0.62, 0.1, -0.02, 0.11, -0.28, 1.0]	[-0.1, -0.14, 0.97]	[0.04, -0.21, 0.81]	[-0.03, -0.12, 0.97]	[-0.08, 0.0, 0.88]
98	[-0.09, 0.7, 0.02, -0.01, 0.12, -0.27, 1.0]	[-0.1, -0.13, 0.98]	[0.04, -0.21, 0.81]	[-0.03, -0.11, 0.97]	[-0.08, 0.0, 0.88]
99	[-0.05, 0.45, -0.04, 0.01, 0.13, -0.26, 1.0]	[-0.1, -0.12, 0.98]	[0.04, -0.21, 0.81]	[-0.04, -0.1, 0.97]	[-0.08, 0.0, 0.88]
100	[-0.11, 0.58, -0.02, 0.01, 0.11, -0.25, 1.0]	[-0.1, -0.11, 0.97]	[0.04, -0.21, 0.81]	[-0.04, -0.1, 0.97]	[-0.08, 0.0, 0.88]
101	[-0.19, 0.29, 0.05, 0.02, 0.09, -0.24, 1.0]	[-0.11, -0.1, 0.97]	[0.04, -0.21, 0.81]	[-0.04, -0.09, 0.96]	[-0.08, 0.0, 0.88]
102	[-0.25, 0.51, 0.12, 0.03, 0.09, -0.24, 1.0]	[-0.11, -0.1, 0.97]	[0.04, -0.21, 0.81]	[-0.04, -0.08, 0.96]	[-0.08, 0.0, 0.88]
103	[-0.19, 0.21, 0.3, 0.03, 0.1, -0.23, 1.0]	[-0.11, -0.09, 0.97]	[0.04, -0.21, 0.81]	[-0.04, -0.08, 0.96]	[-0.08, 0.0, 0.88]
104	[-0.1, 0.39, 0.32, 0.03, 0.11, -0.23, 1.0]	[-0.11, -0.09, 0.98]	[0.04, -0.21, 0.81]	[-0.05, -0.07, 0.96]	[-0.08, 0.0, 0.88]
105	[-0.24, 0.19, 0.19, 0.03, 0.13, -0.23, 1.0]	[-0.12, -0.08, 0.98]	[0.04, -0.21, 0.81]	[-0.05, -0.07, 0.97]	[-0.08, 0.0, 0.88]
106	[-0.23, 0.37, 0.15, 0.03, 0.13, -0.23, 1.0]	[-0.12, -0.08, 0.98]	[0.04, -0.21, 0.81]	[-0.05, -0.07, 0.97]	[-0.08, 0.0, 0.88]
107	[-0.18, 0.27, 0.13, 0.03, 0.12, -0.23, 1.0]	[-0.12, -0.07, 0.99]	[0.04, -0.21, 0.81]	[-0.06, -0.07, 0.97]	[-0.08, 0.0, 0.88]
108	[-0.21, 0.36, 0.04, 0.02, 0.11, -0.24, 1.0]	[-0.13, -0.07, 0.99]	[0.04, -0.21, 0.81]	[-0.06, -0.06, 0.97]	[-0.08, 0.0, 0.88]
109	[-0.12, 0.18, 0.1, 0.03, 0.12, -0.24, 1.0]	[-0.13, -0.06, 0.99]	[0.04, -0.21, 0.81]	[-0.06, -0.06, 0.97]	[-0.08, 0.0, 0.88]
110	[-0.11, 0.29, 0.17, 0.02, 0.14, -0.24, 1.0]	[-0.13, -0.06, 0.99]	[0.04, -0.21, 0.81]	[-0.07, -0.06, 0.97]	[-0.08, 0.0, 0.88]
111	[-0.06, 0.24, 0.27, 0.01, 0.15, -0.25, 1.0]	[-0.14, -0.06, 0.99]	[0.04, -0.21, 0.81]	[-0.07, -0.06, 0.97]	[-0.08, 0.0, 0.88]
112	[-0.06, 0.34, 0.26, -0.01, 0.16, -0.26, 1.0]	[-0.14, -0.05, 0.99]	[0.04, -0.21, 0.81]	[-0.07, -0.05, 0.97]	[-0.08, 0.0, 0.88]
113	[-0.02, 0.41, 0.38, -0.04, 0.16, -0.26, 1.0]	[-0.14, -0.05, 1.0]	[0.04, -0.21, 0.81]	[-0.07, -0.05, 0.97]	[-0.08, 0.0, 0.88]
114	[0.1, 0.42, 0.32, -0.07, 0.18, -0.26, 1.0]	[-0.14, -0.05, 1.0]	[0.04, -0.21, 0.81]	[-0.08, -0.05, 0.98]	[-0.08, 0.0, 0.88]
115	[0.13, 0.48, 0.13, -0.09, 0.18, -0.27, 1.0]	[-0.14, -0.04, 1.0]	[0.04, -0.21, 0.81]	[-0.08, -0.05, 0.98]	[-0.08, 0.0, 0.88]
116	[0.05, 0.55, -0.01, -0.13, 0.16, -0.27, 1.0]	[-0.14, -0.04, 1.01]	[0.04, -0.21, 0.81]	[-0.08, -0.04, 0.98]	[-0.08, 0.0, 0.88]
117	[0.07, 0.17, 0.04, -0.14, 0.14, -0.26, 1.0]	[-0.14, -0.03, 1.01]	[0.04, -0.21, 0.81]	[-0.08, -0.04, 0.98]	[-0.08, 0.0, 0.88]
118	[0.1, 0.16, 0.06, -0.15, 0.12, -0.23, 1.0]	[-0.14, -0.02, 1.01]	[0.04, -0.21, 0.81]	[-0.08, -0.04, 0.98]	[-0.08, 0.0, 0.88]
119	[0.33, 0.41, 0.47, -0.19, 0.14, -0.21, 1.0]	[-0.14, -0.02, 1.01]	[0.04, -0.21, 0.81]	[-0.08, -0.03, 0.98]	[-0.08, 0.0, 0.88]
120	[0.33, 0.44, 0.42, -0.2, 0.16, -0.21, 1.0]	[-0.14, -0.02, 1.01]	[0.04, -0.21, 0.81]	[-0.08, -0.03, 0.98]	[-0.08, 0.0, 0.88]
121	[0.11, 0.08, 0.3, -0.19, 0.16, -0.2, 1.0]	[-0.14, -0.01, 1.02]	[0.04, -0.21, 0.81]	[-0.07, -0.03, 0.99]	[-0.08, 0.0, 0.88]
122	[0.05, -0.01, 0.13, -0.16, 0.15, -0.18, 1.0]	[-0.13, -0.01, 1.02]	[0.04, -0.21, 0.81]	[-0.07, -0.03, 0.99]	[-0.08, 0.0, 0.88]
123	[0.14, -0.1, 0.24, -0.14, 0.17, -0.15, 1.0]	[-0.13, -0.01, 1.03]	[0.04, -0.21, 0.81]	[-0.07, -0.03, 0.99]	[-0.08, 0.0, 0.88]
124	[0.3, 0.07, 0.23, -0.12, 0.2, -0.13, 1.0]	[-0.13, -0.01, 1.03]	[0.04, -0.21, 0.81]	[-0.07, -0.03, 1.0]	[-0.08, 0.0, 0.88]
125	[0.06, 0.05, 0.2, -0.1, 0.21, -0.11, 1.0]	[-0.13, -0.01, 1.03]	[0.04, -0.21, 0.81]	[-0.07, -0.03, 1.0]	[-0.08, 0.0, 0.88]
126	[0.14, 0.14, 0.15, -0.09, 0.21, -0.1, 1.0]	[-0.13, -0.01, 1.03]	[0.04, -0.21, 0.81]	[-0.07, -0.03, 1.0]	[-0.08, 0.0, 0.88]
127	[-0.08, 0.21, 0.4, -0.08, 0.21, -0.09, 1.0]	[-0.13, -0.01, 1.04]	[0.04, -0.21, 0.81]	[-0.07, -0.03, 1.0]	[-0.08, 0.0, 0.88]
128	[0.02, 0.45, 0.26, -0.08, 0.21, -0.11, 1.0]	[-0.13, -0.0, 1.04]	[0.04, -0.21, 0.81]	[-0.08, -0.03, 1.0]	[-0.08, 0.0, 0.88]
129	[-0.03, 0.28, 0.38, -0.07, 0.23, -0.11, 1.0]	[-0.13, 0.0, 1.04]	[0.04, -0.21, 0.81]	[-0.08, -0.03, 1.01]	[-0.08, 0.0, 0.88]
130	[0.13, 0.22, 0.12, -0.06, 0.24, -0.11, 1.0]	[-0.13, 0.0, 1.05]	[0.04, -0.21, 0.81]	[-0.08, -0.02, 1.01]	[-0.08, 0.0, 0.88]
131	[0.04, 0.18, 0.22, -0.06, 0.23, -0.09, 1.0]	[-0.13, 0.01, 1.05]	[0.04, -0.21, 0.81]	[-0.08, -0.02, 1.01]	[-0.08, 0.0, 0.88]
