step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
14	[0.12, -0.09, -0.04, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.09, 0.82]	[-0.14, 0.08, 0.82]	[-0.01, 0.01, 0.0]
15	[0.12, -0.09, -0.02, 0.0, 0.0, 0.0, -1.0]	[-0.15, 0.09, 0.82]	[-0.13, 0.08, 0.83]	[-0.01, 0.01, -0.0]
16	[0.12, -0.09, 0.01, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.09, 0.82]	[-0.13, 0.08, 0.83]	[-0.01, 0.01, -0.0]
17	[0.11, -0.08, 0.03, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.08, 0.82]	[-0.13, 0.08, 0.83]	[-0.01, 0.01, -0.0]
18	[0.1, -0.07, 0.02, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.08, 0.83]	[-0.13, 0.07, 0.83]	[-0.01, 0.01, -0.0]
19	[0.09, -0.06, 0.02, 0.0, 0.0, 0.0, -1.0]	[-0.14, 0.08, 0.83]	[-0.13, 0.07, 0.83]	[-0.01, 0.0, -0.0]
20	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.08, 0.83]	[-0.13, 0.07, 0.83]	[-0.01, 0.0, -0.0]
21	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.08, 0.83]	[-0.13, 0.07, 0.83]	[-0.01, 0.0, -0.0]
22	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.83]	[-0.13, 0.07, 0.83]	[-0.01, 0.0, -0.0]
23	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.84]	[-0.13, 0.07, 0.84]	[-0.01, 0.0, -0.0]
24	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.84]	[-0.13, 0.07, 0.84]	[-0.01, 0.0, -0.0]
25	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.85]	[-0.13, 0.07, 0.85]	[-0.01, 0.0, -0.0]
26	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.85]	[-0.13, 0.07, 0.85]	[-0.01, 0.0, -0.0]
27	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.86]	[-0.13, 0.07, 0.86]	[-0.01, 0.0, -0.0]
28	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.86]	[-0.13, 0.07, 0.87]	[-0.01, 0.0, -0.0]
29	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.87]	[-0.13, 0.07, 0.87]	[-0.01, 0.0, -0.0]
30	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.87]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
37	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
39	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
42	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
44	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
45	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
46	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
47	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
48	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
49	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.14, 0.07, 0.88]	[-0.13, 0.07, 0.88]	[-0.01, 0.0, -0.0]
