step	robot0_action	robot1_action	robot0_eef_pos	robot1_eef_pos
11	[-0.0, -0.0, -0.01, -0.0, 0.0, -0.0, -1.0]	[0.02, -0.01, 0.02, 0.02, -0.0, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
12	[-0.0, 0.01, -0.01, -0.0, 0.0, -0.0, -1.0]	[0.02, -0.01, 0.03, 0.02, -0.0, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.36, 1.01]
13	[-0.0, 0.01, -0.0, -0.0, 0.0, -0.0, -1.0]	[-0.01, -0.03, 0.02, 0.01, -0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
14	[-0.0, 0.0, 0.01, -0.0, 0.0, -0.0, -1.0]	[0.02, 0.01, 0.06, 0.0, -0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
15	[-0.0, 0.0, 0.01, -0.0, 0.0, -0.0, -1.0]	[0.04, 0.05, 0.09, -0.0, -0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
16	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.0, 0.0, -0.06, -0.01, -0.02, 0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
17	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.09, 0.08, 0.02, -0.01, -0.02, 0.01, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
18	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.02, -0.01, -0.05, -0.01, -0.02, 0.01, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
19	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.03, 0.09, 0.07, -0.01, -0.02, 0.01, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
20	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.19, -0.04, -0.02, -0.01, -0.02, 0.01, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
21	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.17, 0.08, 0.04, -0.01, -0.02, 0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
22	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.39, -0.03, -0.12, -0.01, -0.02, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
23	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.33, 0.09, -0.03, -0.01, -0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[0.01, 0.35, 1.01]
24	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.53, -0.02, -0.2, -0.01, -0.01, -0.01, -1.0]	[0.0, -0.37, 1.0]	[0.0, 0.35, 1.01]
25	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.46, 0.01, -0.18, -0.01, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.0, 0.35, 1.01]
26	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.42, 0.03, -0.12, -0.01, 0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.01, 0.35, 1.01]
27	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.42, 0.08, -0.07, -0.01, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.01, 0.35, 1.01]
28	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.39, -0.02, -0.19, -0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.02, 0.36, 1.01]
29	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.45, 0.04, -0.06, -0.02, 0.02, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.03, 0.36, 1.0]
30	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.44, 0.06, -0.08, -0.01, 0.02, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.03, 0.36, 1.0]
31	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.43, 0.08, -0.05, -0.02, 0.02, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.04, 0.36, 1.0]
32	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.4, 0.02, -0.15, -0.01, 0.02, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.04, 0.36, 1.0]
33	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.43, 0.05, -0.08, -0.01, 0.03, -0.05, -1.0]	[0.0, -0.37, 1.0]	[-0.05, 0.36, 1.0]
34	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.63, 0.05, -0.04, -0.0, 0.03, -0.06, -1.0]	[0.0, -0.37, 1.0]	[-0.05, 0.36, 1.0]
35	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.4, 0.07, 0.02, -0.0, 0.03, -0.06, -1.0]	[0.0, -0.37, 1.0]	[-0.06, 0.36, 1.0]
36	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.41, 0.08, -0.16, -0.0, 0.02, -0.06, -1.0]	[0.0, -0.37, 1.0]	[-0.07, 0.36, 1.0]
37	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.34, 0.12, 0.0, -0.0, 0.02, -0.05, -1.0]	[0.0, -0.37, 1.0]	[-0.07, 0.36, 1.0]
38	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.37, 0.05, -0.04, -0.01, 0.01, -0.05, -1.0]	[0.0, -0.37, 1.0]	[-0.08, 0.36, 0.99]
39	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.32, 0.09, -0.07, -0.0, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.08, 0.36, 0.99]
40	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.39, 0.07, -0.24, 0.0, 0.0, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.09, 0.36, 0.99]
41	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.3, 0.09, -0.14, 0.01, 0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.09, 0.37, 0.99]
42	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.39, 0.12, -0.2, 0.01, -0.0, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.1, 0.37, 0.99]
43	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.26, 0.12, -0.09, 0.0, -0.0, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.1, 0.37, 0.99]
44	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.28, 0.1, -0.15, -0.0, -0.01, 0.0, -1.0]	[0.0, -0.37, 1.0]	[-0.1, 0.37, 0.99]
45	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.18, 0.14, -0.03, -0.01, -0.01, 0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.11, 0.37, 0.98]
46	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.16, 0.05, -0.35, -0.0, -0.02, 0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.11, 0.37, 0.98]
47	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.21, 0.15, -0.1, -0.01, -0.02, 0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.11, 0.37, 0.98]
48	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.16, 0.1, -0.2, -0.0, -0.02, 0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.11, 0.37, 0.98]
49	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.29, 0.18, -0.22, 0.0, -0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[-0.12, 0.37, 0.98]
50	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.03, 0.11, -0.22, 0.01, 0.0, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.12, 0.38, 0.97]
51	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.29, 0.29, -0.15, 0.01, 0.01, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.12, 0.38, 0.97]
52	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.13, 0.19, -0.2, 0.02, 0.02, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.12, 0.38, 0.97]
53	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.29, 0.31, -0.11, 0.02, 0.02, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.13, 0.38, 0.97]
54	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.13, 0.21, 0.1, 0.01, 0.02, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.13, 0.39, 0.96]
55	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.12, 0.27, 0.03, 0.01, 0.02, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.13, 0.39, 0.96]
56	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.16, 0.23, -0.05, 0.01, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.14, 0.39, 0.96]
57	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.22, 0.2, -0.11, 0.01, 0.02, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.14, 0.4, 0.96]
58	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.3, 0.2, -0.27, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.14, 0.4, 0.96]
59	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.24, 0.16, -0.29, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.14, 0.4, 0.96]
60	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.31, 0.18, -0.48, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.15, 0.41, 0.96]
61	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.22, 0.16, -0.3, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.15, 0.41, 0.95]
62	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.28, 0.17, -0.35, 0.03, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.15, 0.41, 0.95]
63	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.19, 0.16, -0.18, 0.03, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.16, 0.41, 0.94]
64	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.19, 0.08, -0.16, 0.04, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.16, 0.41, 0.94]
65	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.21, 0.16, -0.15, 0.04, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.16, 0.42, 0.94]
66	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.23, 0.13, -0.23, 0.04, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.16, 0.42, 0.93]
67	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.26, 0.1, -0.34, 0.05, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.17, 0.42, 0.93]
68	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.25, 0.02, -0.32, 0.05, 0.02, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.17, 0.42, 0.93]
69	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.24, 0.12, -0.34, 0.06, 0.02, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.17, 0.42, 0.92]
70	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.19, 0.12, -0.34, 0.06, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.18, 0.43, 0.92]
71	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.14, 0.15, -0.22, 0.06, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.18, 0.43, 0.91]
72	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.11, 0.14, -0.13, 0.06, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.18, 0.43, 0.91]
73	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.05, 0.18, -0.17, 0.05, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.18, 0.43, 0.91]
74	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.09, 0.13, -0.22, 0.05, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.44, 0.91]
75	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.06, 0.17, -0.21, 0.05, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.44, 0.9]
76	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.22, 0.17, -0.31, 0.05, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.44, 0.9]
77	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.08, 0.15, -0.26, 0.05, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.44, 0.9]
78	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.13, 0.16, -0.34, 0.06, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.45, 0.89]
79	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.03, 0.18, -0.22, 0.06, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.45, 0.89]
80	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.0, 0.23, -0.27, 0.05, 0.01, -0.04, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.45, 0.88]
81	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.13, 0.22, -0.05, 0.05, 0.0, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.45, 0.88]
82	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.04, 0.18, -0.1, 0.04, 0.0, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.46, 0.88]
83	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.13, 0.18, -0.0, 0.04, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.46, 0.88]
84	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.01, 0.17, -0.13, 0.04, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.46, 0.88]
85	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.01, 0.12, 0.01, 0.03, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.46, 0.88]
86	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.11, 0.04, -0.12, 0.03, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.47, 0.88]
87	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.09, 0.05, -0.06, 0.03, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.47, 0.87]
88	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.12, -0.05, -0.1, 0.03, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.47, 0.87]
89	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.1, -0.02, -0.21, 0.03, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.47, 0.87]
90	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.08, -0.06, -0.24, 0.03, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.47, 0.87]
91	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.04, -0.07, -0.23, 0.03, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.19, 0.47, 0.87]
92	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.08, -0.09, -0.17, 0.02, -0.0, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.47, 0.86]
93	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.14, -0.11, -0.19, 0.02, 0.0, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.47, 0.86]
94	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.18, -0.09, -0.21, 0.02, 0.0, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.46, 0.86]
95	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.18, -0.09, -0.17, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.46, 0.86]
96	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.14, -0.07, -0.14, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.46, 0.85]
97	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.11, -0.08, -0.09, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.46, 0.85]
98	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.07, -0.09, -0.04, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.85]
99	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.02, -0.07, -0.16, 0.02, 0.01, -0.03, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.85]
100	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.01, -0.05, -0.1, 0.02, 0.01, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.85]
101	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.01, -0.04, -0.17, 0.02, 0.01, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.85]
102	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.02, -0.04, -0.15, 0.02, 0.01, -0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.84]
103	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.06, -0.05, -0.15, 0.02, 0.01, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.84]
104	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.03, -0.07, -0.04, 0.02, 0.01, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.84]
105	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.11, -0.06, -0.04, 0.02, 0.01, -0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.84]
106	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.08, -0.06, 0.08, 0.02, 0.01, -0.0, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.84]
107	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.12, -0.08, 0.07, 0.02, 0.01, 0.0, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.84]
108	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.15, -0.06, 0.06, 0.01, 0.01, 0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.21, 0.46, 0.84]
109	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.13, -0.03, 0.04, 0.01, 0.01, 0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.46, 0.84]
110	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.07, -0.07, 0.02, 0.01, 0.0, 0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.46, 0.84]
111	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.04, -0.07, -0.04, 0.01, 0.0, 0.02, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.46, 0.84]
112	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.02, -0.05, -0.04, 0.01, 0.0, 0.01, -1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.84]
113	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.06, -0.03, 0.01, -0.0, 0.0, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.84]
114	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.01, -0.12, -0.1, -0.01, 0.0, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.84]
115	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.0, -0.11, -0.07, -0.0, 0.0, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.84]
116	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.01, -0.08, -0.1, 0.0, 0.0, 0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.84]
117	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.03, -0.06, -0.12, 0.01, 0.0, 0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.84]
118	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.0, -0.09, -0.18, 0.01, 0.0, 0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.84]
119	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.02, -0.04, -0.12, 0.01, 0.0, 0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.83]
120	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.05, -0.07, -0.1, 0.01, 0.0, -0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.83]
121	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.02, -0.03, -0.08, 0.01, 0.0, -0.0, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.83]
122	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.05, -0.05, -0.11, 0.01, 0.0, -0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.83]
123	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.01, -0.03, -0.08, 0.01, 0.0, -0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.45, 0.83]
124	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[-0.03, -0.0, -0.18, 0.01, 0.0, -0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.83]
125	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.03, -0.02, -0.05, 0.01, -0.0, -0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.83]
126	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.05, -0.03, -0.08, 0.01, -0.0, -0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.83]
127	[-0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -1.0]	[0.07, -0.05, 0.06, 0.01, -0.0, -0.01, 1.0]	[0.0, -0.37, 1.0]	[-0.2, 0.44, 0.83]
