step	action	robot0_eef_pos	cube_pos	gripper_to_cube_pos
28	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[-0.18, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
29	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.18, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
30	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
31	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
32	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
33	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
34	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
35	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
36	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
37	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
38	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
39	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
40	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
41	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
42	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
43	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
44	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
45	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
46	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
47	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
48	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
49	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.17, 0.11, 0.87]	[-0.17, 0.11, 0.87]	[-0.0, 0.0, 0.0]
