step	robot0_action	robot0_eef_pos
35	[0.31, -0.09, -0.26, 0.01, 0.04, 0.2, -1.0]	[-0.12, -0.21, 0.89]
36	[0.48, 0.15, -0.17, 0.01, 0.04, 0.19, -1.0]	[-0.11, -0.21, 0.89]
37	[0.5, 0.14, -0.17, 0.0, 0.03, 0.17, -1.0]	[-0.11, -0.21, 0.88]
38	[0.36, 0.23, -0.24, 0.0, 0.03, 0.15, -1.0]	[-0.11, -0.21, 0.88]
39	[0.25, 0.27, -0.34, 0.01, 0.02, 0.12, -1.0]	[-0.1, -0.21, 0.88]
40	[0.21, 0.23, -0.41, 0.01, 0.01, 0.1, -1.0]	[-0.1, -0.21, 0.87]
41	[0.18, 0.15, -0.39, 0.02, 0.01, 0.09, -1.0]	[-0.09, -0.2, 0.87]
42	[0.11, 0.06, -0.38, 0.03, 0.01, 0.07, -1.0]	[-0.09, -0.2, 0.86]
43	[-0.01, -0.07, -0.25, 0.04, 0.01, 0.06, -1.0]	[-0.09, -0.2, 0.86]
44	[0.09, -0.07, -0.16, 0.04, 0.0, 0.06, -1.0]	[-0.09, -0.2, 0.85]
45	[0.0, -0.21, -0.14, 0.04, 0.0, 0.05, -1.0]	[-0.09, -0.2, 0.85]
46	[0.08, -0.16, -0.14, 0.04, 0.01, 0.05, -1.0]	[-0.09, -0.2, 0.85]
47	[-0.06, -0.24, -0.2, 0.04, 0.01, 0.05, -1.0]	[-0.08, -0.2, 0.85]
48	[-0.08, -0.22, -0.12, 0.04, 0.01, 0.05, -1.0]	[-0.08, -0.2, 0.84]
49	[-0.15, -0.23, -0.14, 0.03, 0.0, 0.04, -1.0]	[-0.09, -0.2, 0.84]
50	[-0.07, -0.16, -0.16, 0.03, -0.0, 0.03, -1.0]	[-0.09, -0.21, 0.84]
51	[-0.09, -0.21, -0.25, 0.03, -0.01, 0.03, -1.0]	[-0.09, -0.21, 0.84]
52	[-0.02, -0.16, -0.25, 0.03, -0.01, 0.03, -1.0]	[-0.09, -0.21, 0.84]
53	[-0.1, -0.19, -0.19, 0.03, -0.01, 0.02, -1.0]	[-0.09, -0.21, 0.83]
54	[-0.14, -0.15, -0.14, 0.02, -0.01, 0.01, -1.0]	[-0.09, -0.22, 0.83]
55	[-0.07, -0.2, -0.08, 0.02, -0.02, 0.01, -1.0]	[-0.09, -0.22, 0.83]
56	[-0.09, -0.15, -0.04, 0.01, -0.02, 0.01, -1.0]	[-0.09, -0.22, 0.83]
57	[-0.03, -0.1, -0.06, 0.01, -0.02, 0.01, -1.0]	[-0.09, -0.22, 0.83]
58	[-0.1, -0.11, -0.13, 0.01, -0.02, 0.01, -1.0]	[-0.09, -0.23, 0.82]
59	[-0.12, -0.16, -0.3, 0.01, -0.02, 0.0, -1.0]	[-0.09, -0.23, 0.82]
60	[-0.08, -0.06, -0.25, 0.01, -0.02, 0.0, -1.0]	[-0.1, -0.23, 0.82]
61	[-0.13, -0.2, -0.42, 0.01, -0.02, -0.0, -1.0]	[-0.1, -0.23, 0.82]
62	[-0.08, -0.04, -0.2, 0.02, -0.02, -0.0, -1.0]	[-0.1, -0.23, 0.81]
63	[-0.05, -0.14, -0.14, 0.01, -0.02, -0.01, -1.0]	[-0.1, -0.23, 0.81]
64	[-0.04, -0.03, -0.03, 0.0, -0.01, -0.01, -1.0]	[-0.1, -0.24, 0.81]
65	[-0.06, -0.05, 0.01, 0.0, -0.01, -0.01, -1.0]	[-0.1, -0.24, 0.81]
66	[-0.07, -0.03, -0.01, 0.0, -0.01, -0.01, -1.0]	[-0.1, -0.24, 0.81]
67	[-0.09, -0.06, -0.12, 0.0, -0.01, -0.01, -1.0]	[-0.1, -0.24, 0.81]
68	[-0.08, 0.04, -0.01, 0.0, -0.01, -0.01, -1.0]	[-0.1, -0.24, 0.81]
69	[-0.05, 0.01, -0.14, 0.0, -0.01, -0.02, 1.0]	[-0.1, -0.24, 0.81]
70	[0.01, 0.07, -0.07, -0.0, -0.01, -0.02, 1.0]	[-0.1, -0.24, 0.81]
71	[-0.01, 0.09, -0.16, 0.01, -0.0, -0.02, 1.0]	[-0.1, -0.24, 0.81]
72	[-0.05, 0.12, -0.1, 0.01, -0.0, -0.02, 1.0]	[-0.1, -0.24, 0.81]
73	[-0.11, 0.05, -0.17, 0.01, -0.01, -0.02, 1.0]	[-0.09, -0.24, 0.81]
74	[-0.06, 0.08, -0.09, 0.02, -0.01, -0.02, 1.0]	[-0.09, -0.24, 0.81]
75	[0.02, -0.01, 0.05, 0.01, -0.01, -0.02, 1.0]	[-0.09, -0.24, 0.81]
76	[0.05, 0.02, 0.04, 0.01, -0.01, -0.01, 1.0]	[-0.09, -0.24, 0.81]
77	[0.1, -0.08, 0.11, 0.0, -0.0, -0.01, 1.0]	[-0.09, -0.24, 0.81]
78	[-0.0, 0.01, -0.01, 0.0, -0.0, -0.0, 1.0]	[-0.09, -0.24, 0.81]
79	[-0.04, 0.06, 0.01, 0.0, -0.0, -0.01, 1.0]	[-0.09, -0.24, 0.81]
80	[-0.02, 0.1, 0.05, -0.0, -0.0, -0.01, 1.0]	[-0.09, -0.24, 0.81]
81	[0.12, 0.07, 0.12, -0.0, -0.0, -0.01, 1.0]	[-0.09, -0.24, 0.81]
82	[0.07, 0.19, 0.19, -0.0, 0.0, -0.01, 1.0]	[-0.09, -0.24, 0.81]
83	[0.16, 0.19, 0.34, -0.01, 0.01, -0.02, 1.0]	[-0.09, -0.24, 0.82]
84	[0.12, 0.31, 0.38, -0.02, 0.01, -0.02, 1.0]	[-0.09, -0.24, 0.82]
85	[0.19, 0.23, 0.54, -0.03, 0.02, -0.03, 1.0]	[-0.09, -0.23, 0.82]
86	[0.19, 0.4, 0.69, -0.04, 0.03, -0.04, 1.0]	[-0.09, -0.23, 0.83]
87	[0.37, 0.38, 0.83, -0.05, 0.04, -0.05, 1.0]	[-0.09, -0.23, 0.84]
88	[0.3, 0.49, 0.88, -0.06, 0.05, -0.06, 1.0]	[-0.09, -0.23, 0.85]
89	[0.32, 0.47, 0.85, -0.07, 0.06, -0.08, 1.0]	[-0.08, -0.22, 0.86]
90	[0.25, 0.62, 0.83, -0.09, 0.06, -0.1, 1.0]	[-0.08, -0.22, 0.87]
91	[0.37, 0.56, 0.81, -0.09, 0.07, -0.12, 1.0]	[-0.08, -0.22, 0.88]
92	[0.48, 0.55, 0.73, -0.08, 0.09, -0.12, 1.0]	[-0.08, -0.21, 0.89]
93	[0.52, 0.44, 0.63, -0.08, 0.1, -0.13, 1.0]	[-0.07, -0.2, 0.9]
94	[0.47, 0.56, 0.54, -0.07, 0.11, -0.14, 1.0]	[-0.07, -0.2, 0.91]
95	[0.42, 0.51, 0.45, -0.07, 0.11, -0.15, 1.0]	[-0.06, -0.19, 0.92]
96	[0.44, 0.6, 0.37, -0.07, 0.1, -0.15, 1.0]	[-0.06, -0.18, 0.92]
97	[0.39, 0.49, 0.32, -0.07, 0.1, -0.16, 1.0]	[-0.06, -0.17, 0.93]
98	[0.16, 0.74, 0.29, -0.06, 0.09, -0.18, 1.0]	[-0.05, -0.17, 0.93]
99	[0.1, 0.58, 0.33, -0.06, 0.08, -0.19, 1.0]	[-0.05, -0.16, 0.94]
100	[0.06, 0.86, 0.42, -0.05, 0.08, -0.21, 1.0]	[-0.05, -0.15, 0.94]
101	[0.04, 0.6, 0.33, -0.06, 0.07, -0.21, 1.0]	[-0.04, -0.14, 0.94]
102	[0.06, 0.84, 0.39, -0.08, 0.07, -0.21, 1.0]	[-0.04, -0.13, 0.95]
103	[0.1, 0.64, 0.22, -0.09, 0.06, -0.2, 1.0]	[-0.04, -0.12, 0.95]
104	[0.0, 0.76, 0.12, -0.09, 0.06, -0.2, 1.0]	[-0.04, -0.11, 0.96]
105	[0.03, 0.6, 0.13, -0.07, 0.06, -0.2, 1.0]	[-0.04, -0.1, 0.96]
106	[-0.0, 0.75, 0.1, -0.05, 0.07, -0.2, 1.0]	[-0.04, -0.09, 0.96]
107	[-0.03, 0.55, 0.19, -0.04, 0.07, -0.2, 1.0]	[-0.04, -0.08, 0.96]
108	[-0.16, 0.96, 0.23, -0.05, 0.06, -0.21, 1.0]	[-0.04, -0.07, 0.97]
109	[-0.19, 0.86, 0.36, -0.04, 0.07, -0.22, 1.0]	[-0.04, -0.06, 0.97]
110	[-0.1, 0.95, 0.31, -0.02, 0.1, -0.25, 1.0]	[-0.05, -0.05, 0.97]
111	[-0.08, 0.69, 0.42, -0.0, 0.12, -0.27, 1.0]	[-0.05, -0.04, 0.98]
112	[0.01, 1.0, 0.42, -0.0, 0.15, -0.3, 1.0]	[-0.05, -0.03, 0.98]
113	[0.05, 0.82, 0.48, -0.0, 0.17, -0.32, 1.0]	[-0.05, -0.02, 0.99]
114	[0.16, 0.93, 0.46, -0.0, 0.2, -0.35, 1.0]	[-0.06, -0.0, 0.99]
115	[0.18, 0.75, 0.5, -0.0, 0.22, -0.37, 1.0]	[-0.06, 0.01, 1.0]
116	[0.19, 0.78, 0.29, -0.0, 0.23, -0.38, 1.0]	[-0.06, 0.02, 1.0]
117	[0.3, 0.49, 0.16, -0.02, 0.24, -0.38, 1.0]	[-0.06, 0.03, 1.01]
118	[0.14, 0.76, 0.0, -0.03, 0.23, -0.37, 1.0]	[-0.06, 0.04, 1.01]
119	[0.25, 0.31, 0.1, -0.05, 0.22, -0.37, 1.0]	[-0.06, 0.05, 1.01]
120	[0.23, 1.0, -0.05, -0.1, 0.21, -0.36, 1.0]	[-0.06, 0.05, 1.01]
121	[0.3, 0.88, 0.09, -0.14, 0.21, -0.35, 1.0]	[-0.05, 0.06, 1.01]
122	[0.12, 0.44, -0.01, -0.13, 0.2, -0.32, 1.0]	[-0.05, 0.07, 1.01]
123	[0.11, -0.2, -0.12, -0.09, 0.19, -0.29, 1.0]	[-0.05, 0.08, 1.01]
124	[-0.04, 0.08, -0.04, -0.06, 0.17, -0.25, 1.0]	[-0.05, 0.08, 1.01]
125	[-0.52, -1.0, -0.28, -0.04, 0.15, -0.21, 1.0]	[-0.05, 0.08, 1.01]
126	[0.21, 0.24, 0.13, -0.05, 0.18, -0.2, 1.0]	[-0.05, 0.08, 1.01]
127	[-0.2, -0.9, -0.03, -0.04, 0.21, -0.21, 1.0]	[-0.05, 0.08, 1.01]
128	[-0.26, 0.07, -0.19, -0.04, 0.2, -0.19, 1.0]	[-0.05, 0.07, 1.01]
129	[-0.23, -0.31, -0.22, -0.05, 0.2, -0.17, 1.0]	[-0.05, 0.07, 1.01]
130	[-0.18, 0.01, -0.07, -0.04, 0.2, -0.15, 1.0]	[-0.05, 0.06, 1.01]
131	[-0.26, -0.4, -0.09, -0.03, 0.19, -0.12, 1.0]	[-0.05, 0.06, 1.0]
132	[-0.08, 0.08, 0.06, -0.04, 0.19, -0.09, 1.0]	[-0.06, 0.06, 1.0]
133	[-0.15, -0.65, 0.28, -0.05, 0.19, -0.06, 1.0]	[-0.06, 0.06, 1.0]
134	[0.13, 0.05, 0.29, -0.04, 0.2, -0.03, 1.0]	[-0.06, 0.05, 1.0]
135	[-0.17, -0.59, 0.46, -0.04, 0.21, -0.01, 1.0]	[-0.06, 0.05, 1.01]
136	[0.16, 0.1, 0.33, -0.03, 0.23, 0.01, 1.0]	[-0.06, 0.05, 1.01]
137	[-0.06, -0.43, 0.33, -0.02, 0.24, 0.02, 1.0]	[-0.06, 0.04, 1.02]
138	[0.0, 0.2, 0.21, -0.02, 0.24, 0.03, 1.0]	[-0.06, 0.04, 1.02]
139	[-0.32, -0.28, 0.45, -0.02, 0.22, 0.04, 1.0]	[-0.06, 0.04, 1.03]
140	[-0.06, 0.26, 0.2, -0.02, 0.21, 0.04, 1.0]	[-0.07, 0.04, 1.03]
141	[-0.41, -0.05, 0.51, -0.03, 0.21, 0.04, 1.0]	[-0.07, 0.04, 1.03]
142	[0.04, 0.21, 0.34, -0.02, 0.2, 0.05, 1.0]	[-0.07, 0.04, 1.04]
143	[-0.3, -0.16, 0.51, -0.02, 0.2, 0.05, 1.0]	[-0.07, 0.04, 1.04]
144	[0.06, 0.12, 0.35, -0.01, 0.19, 0.05, 1.0]	[-0.07, 0.04, 1.05]
145	[-0.07, -0.02, 0.3, -0.01, 0.19, 0.05, 1.0]	[-0.07, 0.04, 1.06]
146	[0.1, 0.11, 0.29, -0.01, 0.18, 0.05, 1.0]	[-0.08, 0.04, 1.06]
147	[-0.03, 0.03, 0.42, -0.0, 0.19, 0.05, 1.0]	[-0.08, 0.04, 1.06]
148	[0.14, 0.16, 0.21, 0.0, 0.18, 0.04, 1.0]	[-0.08, 0.04, 1.07]
149	[-0.05, 0.11, 0.49, 0.0, 0.18, 0.04, 1.0]	[-0.08, 0.04, 1.07]
150	[0.06, 0.21, 0.21, -0.0, 0.17, 0.03, 1.0]	[-0.08, 0.05, 1.08]
151	[-0.14, 0.16, 0.42, -0.01, 0.15, 0.02, 1.0]	[-0.08, 0.05, 1.08]
152	[0.16, 0.15, 0.27, -0.02, 0.15, 0.01, 1.0]	[-0.08, 0.05, 1.09]
153	[-0.0, -0.0, 0.43, -0.02, 0.14, 0.01, 1.0]	[-0.08, 0.05, 1.09]
154	[0.01, 0.0, 0.18, -0.02, 0.14, 0.0, 1.0]	[-0.08, 0.05, 1.1]
155	[-0.48, -0.22, 0.16, -0.02, 0.11, 0.0, 1.0]	[-0.08, 0.05, 1.1]
156	[-0.29, -0.07, -0.06, -0.01, 0.09, -0.0, 1.0]	[-0.08, 0.05, 1.1]
157	[-0.48, -0.15, -0.14, -0.0, 0.07, -0.01, 1.0]	[-0.08, 0.05, 1.1]
158	[-0.44, 0.0, -0.09, 0.0, 0.04, -0.01, 1.0]	[-0.08, 0.05, 1.1]
159	[-0.53, -0.15, -0.28, 0.0, 0.02, -0.01, 1.0]	[-0.09, 0.05, 1.1]
160	[-0.33, -0.05, -0.01, 0.01, 0.01, -0.02, 1.0]	[-0.09, 0.05, 1.09]
161	[-0.4, -0.2, -0.18, 0.0, 0.0, -0.01, 1.0]	[-0.09, 0.05, 1.09]
162	[-0.2, -0.08, 0.09, 0.0, -0.0, -0.01, 1.0]	[-0.1, 0.04, 1.09]
163	[-0.15, -0.21, -0.02, 0.01, -0.0, -0.01, 1.0]	[-0.1, 0.04, 1.09]
164	[0.01, -0.05, 0.15, 0.01, 0.01, -0.01, 1.0]	[-0.1, 0.04, 1.09]
165	[-0.07, -0.16, 0.08, 0.01, 0.02, -0.0, 1.0]	[-0.1, 0.04, 1.09]
166	[-0.03, 0.04, 0.1, 0.0, 0.03, 0.0, 1.0]	[-0.11, 0.04, 1.09]
167	[-0.18, -0.13, 0.03, -0.0, 0.03, 0.0, 1.0]	[-0.11, 0.04, 1.09]
168	[-0.01, -0.02, 0.0, -0.0, 0.03, 0.01, 1.0]	[-0.11, 0.04, 1.09]
169	[-0.24, -0.2, -0.07, -0.0, 0.03, 0.01, 1.0]	[-0.11, 0.04, 1.09]
170	[-0.07, -0.09, -0.09, -0.0, 0.02, 0.01, 1.0]	[-0.11, 0.04, 1.09]
171	[-0.27, -0.14, -0.04, -0.0, 0.02, 0.02, 1.0]	[-0.11, 0.03, 1.09]
172	[-0.12, -0.09, -0.01, -0.0, 0.02, 0.02, 1.0]	[-0.12, 0.03, 1.09]
173	[-0.3, -0.12, 0.12, -0.0, 0.02, 0.02, 1.0]	[-0.12, 0.03, 1.09]
174	[-0.16, -0.05, 0.03, 0.0, 0.02, 0.01, 1.0]	[-0.12, 0.03, 1.09]
175	[-0.25, -0.13, 0.05, 0.01, 0.01, 0.01, 1.0]	[-0.12, 0.03, 1.09]
176	[-0.11, -0.01, 0.04, 0.01, 0.01, 0.01, 1.0]	[-0.12, 0.03, 1.09]
177	[0.01, -0.07, 0.15, 0.01, 0.02, 0.01, 1.0]	[-0.13, 0.03, 1.09]
178	[0.08, 0.07, 0.18, 0.02, 0.02, 0.01, 1.0]	[-0.13, 0.03, 1.1]
179	[0.15, 0.08, 0.18, 0.01, 0.03, 0.01, 1.0]	[-0.13, 0.03, 1.1]
180	[0.13, 0.14, 0.26, 0.01, 0.04, 0.01, 1.0]	[-0.13, 0.03, 1.1]
181	[0.1, 0.14, 0.28, 0.01, 0.05, 0.01, 1.0]	[-0.13, 0.03, 1.1]
182	[0.11, 0.17, 0.22, 0.0, 0.05, 0.01, 1.0]	[-0.13, 0.03, 1.11]
183	[0.12, 0.1, 0.2, -0.0, 0.06, 0.01, 1.0]	[-0.12, 0.03, 1.11]
184	[0.22, 0.19, 0.2, -0.0, 0.06, 0.01, 1.0]	[-0.12, 0.03, 1.11]
185	[0.2, 0.14, 0.17, -0.01, 0.06, 0.01, 1.0]	[-0.12, 0.04, 1.12]
186	[0.29, 0.18, 0.18, -0.01, 0.07, 0.01, 1.0]	[-0.12, 0.04, 1.12]
187	[0.1, 0.15, 0.14, -0.01, 0.07, 0.01, 1.0]	[-0.12, 0.04, 1.12]
188	[0.17, 0.17, 0.14, -0.02, 0.06, 0.0, 1.0]	[-0.12, 0.04, 1.12]
189	[0.08, 0.12, 0.09, -0.02, 0.06, 0.0, 1.0]	[-0.11, 0.04, 1.13]
190	[0.12, 0.07, 0.11, -0.01, 0.06, -0.0, 1.0]	[-0.11, 0.05, 1.13]
191	[0.03, 0.07, 0.09, -0.01, 0.05, 0.0, 1.0]	[-0.11, 0.05, 1.13]
192	[0.09, -0.02, 0.06, -0.01, 0.05, 0.0, 1.0]	[-0.11, 0.05, 1.13]
193	[0.01, -0.09, 0.01, -0.01, 0.04, 0.0, 1.0]	[-0.11, 0.05, 1.13]
194	[0.11, -0.08, 0.07, -0.01, 0.04, 0.01, 1.0]	[-0.11, 0.05, 1.13]
195	[0.11, -0.03, 0.06, -0.01, 0.04, 0.01, 1.0]	[-0.11, 0.05, 1.13]
196	[0.03, -0.02, 0.1, -0.01, 0.04, 0.01, 1.0]	[-0.11, 0.05, 1.13]
197	[-0.03, -0.07, 0.04, -0.01, 0.03, 0.01, 1.0]	[-0.11, 0.05, 1.13]
198	[0.0, -0.02, 0.11, -0.01, 0.03, 0.01, 1.0]	[-0.11, 0.05, 1.14]
199	[-0.01, -0.07, 0.1, -0.01, 0.02, 0.01, 1.0]	[-0.1, 0.05, 1.14]
200	[0.02, -0.04, 0.13, -0.01, 0.02, 0.01, 1.0]	[-0.1, 0.04, 1.14]
201	[-0.06, -0.05, 0.06, -0.01, 0.01, 0.01, 1.0]	[-0.1, 0.04, 1.14]
202	[-0.04, -0.07, 0.09, -0.0, 0.01, 0.01, 1.0]	[-0.1, 0.04, 1.14]
203	[-0.02, -0.02, 0.09, 0.0, 0.01, 0.01, 1.0]	[-0.1, 0.04, 1.14]
204	[-0.01, 0.03, 0.12, 0.0, 0.01, 0.01, 1.0]	[-0.1, 0.04, 1.14]
205	[-0.02, -0.01, 0.08, -0.0, 0.01, 0.01, 1.0]	[-0.1, 0.04, 1.14]
206	[-0.01, 0.02, 0.07, 0.0, 0.01, 0.0, 1.0]	[-0.1, 0.04, 1.14]
207	[-0.07, 0.05, -0.08, 0.0, 0.01, 0.0, 1.0]	[-0.11, 0.04, 1.14]
208	[0.01, 0.0, -0.01, 0.0, 0.01, 0.0, 1.0]	[-0.11, 0.04, 1.14]
209	[-0.01, 0.02, 0.05, 0.0, 0.01, 0.0, 1.0]	[-0.11, 0.04, 1.14]
210	[-0.02, 0.02, 0.02, 0.0, 0.0, 0.0, 1.0]	[-0.11, 0.04, 1.14]
211	[-0.02, -0.02, -0.05, 0.01, 0.01, 0.0, 1.0]	[-0.11, 0.04, 1.14]
212	[-0.04, 0.02, -0.02, 0.01, 0.0, 0.0, 1.0]	[-0.11, 0.04, 1.14]
213	[-0.04, -0.02, -0.09, 0.01, 0.0, 0.0, 1.0]	[-0.11, 0.04, 1.14]
214	[-0.03, -0.01, -0.1, 0.01, -0.0, -0.0, 1.0]	[-0.11, 0.04, 1.14]
215	[-0.09, -0.04, -0.17, 0.01, -0.01, -0.0, 1.0]	[-0.11, 0.04, 1.14]
216	[-0.04, -0.06, -0.16, 0.01, -0.01, -0.0, 1.0]	[-0.11, 0.04, 1.14]
217	[0.01, -0.04, -0.16, 0.01, -0.01, 0.0, 1.0]	[-0.11, 0.04, 1.14]
218	[0.0, -0.08, -0.17, 0.01, -0.01, 0.0, 1.0]	[-0.11, 0.04, 1.14]
219	[0.03, 0.01, -0.11, 0.01, -0.01, 0.0, 1.0]	[-0.11, 0.04, 1.13]
220	[-0.0, -0.0, -0.11, 0.01, -0.01, 0.01, 1.0]	[-0.11, 0.04, 1.13]
221	[0.01, 0.04, -0.1, 0.0, -0.01, 0.0, 1.0]	[-0.11, 0.04, 1.13]
222	[-0.07, 0.1, -0.06, -0.0, -0.01, 0.0, 1.0]	[-0.11, 0.04, 1.13]
223	[0.06, 0.14, -0.14, -0.0, -0.01, -0.0, 1.0]	[-0.11, 0.04, 1.13]
224	[0.01, 0.07, -0.07, -0.0, -0.01, -0.0, 1.0]	[-0.11, 0.04, 1.13]
225	[-0.07, 0.07, -0.05, -0.0, -0.01, -0.0, 1.0]	[-0.11, 0.05, 1.12]
226	[0.03, 0.07, -0.06, 0.0, -0.01, -0.0, 1.0]	[-0.11, 0.05, 1.12]
227	[-0.03, 0.03, -0.07, 0.0, -0.01, -0.0, 1.0]	[-0.11, 0.05, 1.12]
228	[-0.08, 0.04, -0.0, 0.0, -0.01, -0.0, 1.0]	[-0.11, 0.05, 1.12]
229	[-0.07, -0.02, 0.0, 0.0, -0.01, -0.01, 1.0]	[-0.11, 0.05, 1.12]
230	[-0.14, 0.03, 0.08, 0.0, -0.01, -0.01, 1.0]	[-0.11, 0.05, 1.12]
231	[-0.11, -0.04, 0.11, -0.0, -0.01, -0.01, 1.0]	[-0.11, 0.05, 1.12]
232	[-0.08, -0.01, 0.14, -0.0, -0.01, -0.01, 1.0]	[-0.11, 0.05, 1.12]
233	[0.02, -0.0, 0.12, -0.01, -0.01, -0.01, 1.0]	[-0.11, 0.05, 1.12]
234	[0.01, -0.07, 0.17, -0.01, -0.0, -0.0, 1.0]	[-0.11, 0.05, 1.13]
235	[0.14, -0.04, 0.11, -0.01, 0.01, 0.0, 1.0]	[-0.11, 0.05, 1.13]
236	[-0.02, -0.0, 0.15, -0.01, 0.01, 0.0, 1.0]	[-0.11, 0.05, 1.13]
237	[0.11, 0.06, 0.1, -0.01, 0.02, 0.0, 1.0]	[-0.11, 0.05, 1.13]
238	[0.01, 0.03, 0.12, -0.01, 0.02, 0.0, 1.0]	[-0.11, 0.05, 1.13]
239	[-0.06, 0.01, 0.08, -0.01, 0.02, 0.0, 1.0]	[-0.11, 0.05, 1.13]
240	[-0.05, -0.02, 0.04, -0.01, 0.02, 0.0, 1.0]	[-0.11, 0.05, 1.14]
241	[-0.15, -0.06, -0.07, -0.01, 0.02, 0.0, 1.0]	[-0.11, 0.05, 1.14]
242	[-0.1, -0.03, -0.03, -0.01, 0.02, 0.0, 1.0]	[-0.11, 0.05, 1.14]
243	[-0.07, -0.07, -0.08, -0.0, 0.01, -0.0, 1.0]	[-0.12, 0.05, 1.14]
244	[-0.09, -0.02, -0.04, -0.0, 0.01, 0.0, 1.0]	[-0.12, 0.05, 1.13]
245	[-0.03, -0.02, 0.01, 0.0, 0.01, 0.0, 1.0]	[-0.12, 0.05, 1.13]
246	[-0.1, -0.0, 0.01, -0.0, 0.01, 0.0, 1.0]	[-0.12, 0.05, 1.13]
247	[-0.04, -0.03, 0.02, -0.0, 0.01, 0.0, 1.0]	[-0.12, 0.05, 1.13]
248	[-0.1, -0.03, -0.02, -0.0, 0.0, 0.0, 1.0]	[-0.12, 0.04, 1.13]
249	[-0.03, -0.09, 0.01, 0.0, 0.0, 0.0, 1.0]	[-0.12, 0.04, 1.13]
250	[-0.08, -0.08, -0.03, 0.0, 0.0, 0.0, 1.0]	[-0.12, 0.04, 1.13]
